iter	Logloss
0	0.6169233184
1	0.5567093486
2	0.5101506153
3	0.4755934046
4	0.4495231681
5	0.4279793673
6	0.4121983867
7	0.3997235437
8	0.3910127324
9	0.3837959907
10	0.3773889107
11	0.3729688625
12	0.3688331468
13	0.365592423
14	0.3629304111
15	0.3608158937
16	0.3585687372
17	0.3569699869
18	0.3554253557
19	0.354015348
20	0.3527974297
21	0.3517497214
22	0.3508842716
23	0.3503043542
24	0.3496323005
25	0.3490778862
26	0.3481797595
27	0.3476074591
28	0.3470529956
29	0.3466960426
30	0.3464012712
31	0.3460805725
32	0.3454231867
33	0.3452125316
34	0.3449495832
35	0.3444740228
36	0.3442052552
37	0.3439672724
38	0.3437947095
39	0.3435221661
40	0.3432895865
41	0.3431151056
42	0.3429581426
43	0.3427606232
44	0.3426376195
45	0.3424948712
46	0.3423796023
47	0.3422281215
48	0.3421155011
49	0.3419907906
50	0.3418823985
51	0.3417570507
52	0.3416611487
53	0.341559789
54	0.3414284475
55	0.3413366746
56	0.3412418515
57	0.3411627439
58	0.3410448397
59	0.34093237
60	0.3408631213
61	0.3407670343
62	0.3406688092
63	0.3405898867
64	0.3404926734
65	0.340389845
66	0.3403188519
67	0.3402584
68	0.3401599209
69	0.3401065294
70	0.3400302856
71	0.3399724602
72	0.3398924922
73	0.3398547263
74	0.3397946564
75	0.3397293817
76	0.3396767653
77	0.3395953725
78	0.3395224239
79	0.3394509007
80	0.3394000693
81	0.3393215512
82	0.3392665673
83	0.3391860026
84	0.3391379514
85	0.3390601876
86	0.3389962597
87	0.3388751871
88	0.3388087958
89	0.3386697287
90	0.3386231824
91	0.3385310416
92	0.3384661323
93	0.3384131585
94	0.3383365776
95	0.3382848404
96	0.3382264469
97	0.3381745387
98	0.3380966921
99	0.3380486885
100	0.3380004203
101	0.3379337877
102	0.3378923187
103	0.3378483582
104	0.337812303
105	0.3377498046
106	0.3376866836
107	0.3376225988
108	0.3375647075
109	0.3374972864
110	0.3374508395
111	0.3374063886
112	0.3373616704
113	0.3373184383
114	0.3372649099
115	0.3371997585
116	0.3371426534
117	0.337083093
118	0.3370275317
119	0.3369707479
120	0.3369161625
121	0.3367917796
122	0.3367450059
123	0.3366920313
124	0.3366334497
125	0.3365777735
126	0.3365271165
127	0.3364629176
128	0.3364038825
129	0.3363630464
130	0.3363089323
131	0.3362538858
132	0.3361942578
133	0.33614241
134	0.3360751899
135	0.3360311161
136	0.3359906825
137	0.3358954473
138	0.3358228287
139	0.3357564994
140	0.3357060727
141	0.335653345
142	0.3355965277
143	0.3355335191
144	0.335496602
145	0.335436008
146	0.3353921517
147	0.3353475826
148	0.3353004966
149	0.3352528475
150	0.335204249
151	0.3351556718
152	0.3351138537
153	0.3350626237
154	0.3350136348
155	0.3349750354
156	0.3349071899
157	0.334861309
158	0.334823019
159	0.3347716163
160	0.334721374
161	0.3346644373
162	0.3346240197
163	0.3345659883
164	0.334505442
165	0.3344504565
166	0.3344093292
167	0.3343655575
168	0.3342869574
169	0.334249624
170	0.3341961626
171	0.3341529653
172	0.3341209657
