iter	Logloss
173	0.3340563988
174	0.3339985476
175	0.3339397951
176	0.3339025625
177	0.3338479067
178	0.3338054974
179	0.3337625832
180	0.3337137145
181	0.3336598183
182	0.3336181226
183	0.3335577881
184	0.3335149794
185	0.3334663785
186	0.3334153598
187	0.3333578447
188	0.3333174537
189	0.3332676349
190	0.33321807
191	0.3331932613
192	0.3331510583
193	0.333099863
194	0.3330407184
195	0.3329919743
196	0.3329530503
197	0.3329097902
198	0.3328552444
199	0.3327989882
200	0.3327770277
201	0.3327459924
202	0.3326917409
203	0.332638183
204	0.3325948671
205	0.3325437794
206	0.3324947927
207	0.3324591661
208	0.3324109624
209	0.3323853595
210	0.3323460302
211	0.3322945315
212	0.3322476839
213	0.3322088616
214	0.3321636717
215	0.3321317282
216	0.3321049489
217	0.3320876536
218	0.3320395309
219	0.3319834661
220	0.3319347501
221	0.3318747523
222	0.3318259404
223	0.3317796469
224	0.3317312787
225	0.3317031407
226	0.3316575753
227	0.3316081158
228	0.3315807893
229	0.3315349398
230	0.3314924585
231	0.3314557058
232	0.331417058
233	0.3313727157
234	0.3313385261
235	0.3312912064
236	0.33123422
237	0.3311896079
238	0.3311676802
239	0.3311217671
240	0.3310862408
241	0.3310411673
242	0.3310004635
243	0.3309595925
244	0.3309209418
245	0.3308832508
246	0.3308513964
247	0.3308103571
248	0.3307648402
249	0.3307109842
250	0.3306657253
251	0.3306352674
252	0.3305866824
253	0.3305654952
254	0.3305291303
255	0.3304932277
256	0.3304624455
257	0.3304139191
258	0.3303669564
259	0.3303372037
260	0.330301073
261	0.3302605523
262	0.3302137127
263	0.3301853766
264	0.3301513012
265	0.3301105093
266	0.3300760137
267	0.3300468663
268	0.3299987962
269	0.3299630035
270	0.3299024263
271	0.3298616599
272	0.3298095647
273	0.329756177
274	0.3297316223
275	0.3296878298
276	0.3296543956
277	0.3296120643
278	0.3295517492
279	0.3295059919
280	0.3294701993
281	0.3294367603
282	0.3293976288
283	0.3293763211
284	0.3293594405
285	0.3293175141
286	0.329287247
287	0.3292383103
288	0.3291996012
289	0.3291641386
290	0.329116393
291	0.3290793768
292	0.3290381031
293	0.3290051244
294	0.3289570148
295	0.328917986
296	0.3288983587
297	0.3288576523
298	0.3288188088
299	0.3287831122
300	0.3287277833
301	0.3286839467
302	0.3286493508
303	0.3286088116
304	0.328563174
305	0.3285232464
306	0.3284855526
307	0.3284476925
308	0.328397078
309	0.3283701529
310	0.3283483295
311	0.328301083
312	0.3282681885
313	0.328226374
314	0.3282037485
315	0.328161511
316	0.3281418247
317	0.3280976329
318	0.3280587295
319	0.3280127725
320	0.3279812012
321	0.327948271
322	0.3279231712
323	0.3278829652
324	0.3278443151
325	0.3278022113
326	0.3277611569
327	0.3277249611
328	0.3276829786
329	0.327641956
330	0.3276047109
331	0.3275648454
332	0.3275193279
333	0.3274855587
334	0.3274594393
335	0.3274313618
336	0.3273917293
337	0.3273574339
338	0.3273201768
339	0.327295833
340	0.3272716756
341	0.3272323425
342	0.3272107634
343	0.3271764029
344	0.3271402202
345	0.3271042048
346	0.3270833649
347	0.3270493859
348	0.3270105073
349	0.3269735069
350	0.3269543791
351	0.3269268055
352	0.3268989913
353	0.3268626086
354	0.3268185279
355	0.3267866936
356	0.326762927
357	0.3267394151
358	0.3267087836
359	0.3266574612
360	0.3266322828
361	0.3266027159
362	0.3265713573
363	0.3265579538
364	0.3265285212
365	0.3264946447
366	0.326465407
367	0.326434211
368	0.3263903194
369	0.3263549528
370	0.3263117522
371	0.3262774404
372	0.3262523674
373	0.3262126328
374	0.3261704604
375	0.3261313186
376	0.3261001204
377	0.3260700315
378	0.3260502879
379	0.3260281212
380	0.3260053678
381	0.3259686625
382	0.3259498801
383	0.3259186757
384	0.3258805445
385	0.3258350966
386	0.3258089613
387	0.3257658714
388	0.3257332543
389	0.3256927426
390	0.3256549719
391	0.3256131142
392	0.3255636794
393	0.3255310716
394	0.3254948694
395	0.3254468373
396	0.3254166816
397	0.3253853449
398	0.3253582588
399	0.3253189699
400	0.3252845339
401	0.3252567206
402	0.325236934
403	0.3252073606
404	0.3251715357
405	0.325157798
406	0.3251222746
407	0.3250912945
408	0.325049685
409	0.3250223909
410	0.324991641
411	0.3249547182
412	0.3249322409
413	0.3248895797
414	0.3248571076
415	0.3248205275
416	0.3247871616
417	0.324750475
418	0.3247139585
419	0.3246773225
420	0.3246487675
421	0.3246291346
422	0.3245966169
423	0.3245581009
424	0.3245211897
425	0.3244872767
426	0.3244579282
427	0.3244263773
428	0.3243892562
429	0.3243504641
430	0.3243233403
431	0.3242965027
432	0.3242683233
433	0.3242334218
434	0.3242044867
435	0.3241738466
436	0.324144788
437	0.3241154768
438	0.3240850966
439	0.3240417141
440	0.3240225037
441	0.323992432
442	0.3239655061
443	0.3239340108
444	0.3239212096
445	0.3238869661
446	0.3238650369
447	0.3238326045
448	0.3238027641
449	0.3237813396
450	0.3237471038
451	0.3237217447
452	0.3236971955
453	0.3236770883
454	0.3236597134
455	0.3236265145
456	0.323604098
457	0.3235703616
458	0.32354225
459	0.3235143708
460	0.3234666532
461	0.3234390612
462	0.323417763
463	0.3233833341
464	0.3233492782
465	0.323321241
466	0.3232960526
467	0.3232653202
468	0.3232259522
469	0.323195249
470	0.3231724772
471	0.3231468765
472	0.3231086979
473	0.3230834922
474	0.3230533921
475	0.3230197097
476	0.3229995684
477	0.3229688141
478	0.3229370843
479	0.3229109743
480	0.3228877439
481	0.3228685277
482	0.3228591683
483	0.3228248303
484	0.3227901237
485	0.3227534052
486	0.3227091013
487	0.322689115
488	0.3226607003
489	0.322622363
490	0.3226005369
491	0.3225733631
492	0.3225364329
493	0.3225032589
494	0.3224699125
495	0.3224500684
496	0.3224202887
497	0.3223940076
498	0.3223794848
499	0.3223650835
